"","...1","...2","Country","Year","code","region","Battledeath","Yearconflict","ODAamount","OOFamount","VagueAmount","ODAproject","OOFproject","Vagueproject","LogODAamount","Population","GDPpercapita","Trade","v2x_polyarchy","NRrent","UNGAimportant","UNGAall","HDI","FDI","OtherODA","EliteVisits","BattledeathperPop","GDP","logGDPpercapita","NaturalTotal","Naturalpercapita","LogNaturalTotal","LogNaturalpercapita","FDIpositive","LogFDI","LogPopulation","Battledeathper0.1mil","LogBattledeathperPop","LogBattledeathper0.1mil","LogOtherODA","FDIstock","LogFDIstock","logGDPpercapita1y","logGDPpercapita2y","logGDPpercapita3y","logGDPpercapita4y","logGDPpercapita5y","logNaturalTotal1y","logNaturalTotal2y","logNaturalTotal3y","logNaturalTotal4y","logNaturalTotal5y","logNaturalpercapita1y","logNaturalpercapita2y","logNaturalpercapita3y","logNaturalpercapita4y","logNaturalpercapita5y","NRrent1y","NRrent2y","NRrent3y","NRrent4y","NRrent5y","UNGAall1y","UNGAall2y","UNGAall3y","UNGAall4y","UNGAall5y","UNGAimportant1y","UNGAimportant2y","UNGAimportant3y","UNGAimportant4y","UNGAimportant5y","logFDI1y","logFDI2y","logFDI3y","logFDI4y","logFDI5y","logFDIstock1y","logFDIstock2y","logFDIstock3y","logFDIstock4y","logFDIstock5y","Battleper0.1mil1y","Battleper0.1mil2y","Battleper0.1mil3y","Battleper0.1mil4y","Battleper0.1mil5y","logBattledeathper0.1mil1y","logBattledeathper0.1mil2y","logBattledeathper0.1mil3y","logBattledeathper0.1mil4y","logBattledeathper0.1mil5y","logOtherODA1y","logOtherODA2y","logOtherODA3y","logOtherODA4y","logOtherODA5y","Population1y","Population2y","Population3y","Population4y","Population5y","LogPopulation1y","LogPopulation2y","LogPopulation3y","LogPopulation4y","LogPopulation5y","LogFDIstockDiff","LogOtherODADiff","logOtherODADiff1y","logOtherODADiff2y","logOtherODADiff3y","logOtherODADiff4y","logOtherODADiff5y","ODAproject1y","ODAproject2y","ODAproject3y","ODAproject4y","ODAproject5y"
"1",1,4,"Afghanistan",2000,"AFG","Asia",3971,0,1113800.69227168,NA,NA,1,0,0,13.9232887716779,20779957,NA,NA,0.072,NA,0.2,0.417910447761194,0.35,NA,190430000,0,0.00019109760429244,NA,NA,NA,NA,NA,NA,NA,NA,16.8494994743358,19.1097604292444,-6.73288004041985,2.95025154967632,19.0647952309403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8737736199179,55.6699161050108,28.2118326863192,NA,NA,2.93782630141643,4.01945785805087,3.33977693423431,NA,NA,19.2513700135352,19.0122380687562,19.2393586469639,NA,NA,20170847,19737770,19357126,NA,NA,16.8197489021077,16.7980446169965,16.7785711783796,NA,NA,NA,-0.186574782594899,0.239131944779,-0.2271205782077,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,5,"Afghanistan",2001,"AFG","Asia",4273,0,2446247.14241119,NA,NA,2,0,0,14.710065629541,21606992,NA,NA,0.079,NA,0.9,0.477611940298507,0.353,NA,699880000,1,0.00019776005841072,NA,NA,NA,NA,NA,NA,NA,NA,16.8885275239774,19.7760058410722,-6.72730208448158,2.98451994168657,20.3664194497421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.417910447761194,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1097604292444,18.8737736199179,55.6699161050108,28.2118326863192,NA,2.95025154967632,2.93782630141643,4.01945785805087,3.33977693423431,NA,19.0647952309403,19.2513700135352,19.0122380687562,19.2393586469639,NA,20779957,20170847,19737770,19357126,NA,16.8494994743358,16.8197489021077,16.7980446169965,16.7785711783796,NA,NA,1.3016242188018,-0.186574782594899,0.239131944779,-0.2271205782077,NA,NA,1,NA,NA,NA,NA
"3",3,6,"Afghanistan",2002,"AFG","Asia",648,0,0,NA,NA,9,0,0,NA,22600774,332.766882686638,NA,0.227,1.02357022157732,0.5,0.486301369863014,0.384,0,2376750000,4,2.86715844333473e-05,7520789110.28522,5.80744519793977,7698055776.05094,340.610271845156,22.7642336373066,5.83073892586297,6606,8.79573360595074,16.9334947114437,2.86715844333473,-6.87948703300131,1.05367016644667,21.5889998452038,0.01,-4.60517018598809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477611940298507,0.417910447761194,NA,NA,NA,0.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7760058410722,19.1097604292444,18.8737736199179,55.6699161050108,28.2118326863192,2.98451994168657,2.95025154967632,2.93782630141643,4.01945785805087,3.33977693423431,20.3664194497421,19.0647952309403,19.2513700135352,19.0122380687562,19.2393586469639,21606992,20779957,20170847,19737770,19357126,16.8885275239774,16.8494994743358,16.8197489021077,16.7980446169965,16.7785711783796,NA,1.2225803954617,1.3016242188018,-0.186574782594899,0.239131944779,-0.2271205782077,NA,2,1,NA,NA,NA
"4",4,7,"Afghanistan",2003,"AFG","Asia",193,0,0,NA,NA,7,0,0,NA,23680871,345.639571205302,NA,0.233,0.710009344197614,0.615384615384615,0.709459459459459,0.393,0,2995660000,3,8.15003806236688e-06,8185046098.20807,5.84539942357368,5811459212.41595,245.407325280221,22.4830975315972,5.50291938219895,6606,8.79573360595074,16.9801781493982,0.815003806236688,-6.89963827312552,-0.203336259523164,21.8204304115157,0.01,-4.60517018598809,5.80744519793977,NA,NA,NA,NA,22.7642336373066,NA,NA,NA,NA,5.83073892586297,NA,NA,NA,NA,1.02357022157732,NA,NA,NA,NA,0.486301369863014,0.477611940298507,0.417910447761194,NA,NA,0.5,0.9,0.2,NA,NA,8.79573360595074,NA,NA,NA,NA,-4.60517018598809,NA,NA,NA,NA,2.86715844333473,19.7760058410722,19.1097604292444,18.8737736199179,55.6699161050108,1.05367016644667,2.98451994168657,2.95025154967632,2.93782630141643,4.01945785805087,21.5889998452038,20.3664194497421,19.0647952309403,19.2513700135352,19.0122380687562,22600774,21606992,20779957,20170847,19737770,16.9334947114437,16.8885275239774,16.8494994743358,16.8197489021077,16.7980446169965,0,0.2314305663119,1.2225803954617,1.3016242188018,-0.186574782594899,0.239131944779,-0.2271205782077,9,2,1,NA,NA
"5",5,8,"Afghanistan",2004,"AFG","Asia",95,0,63438647.7092835,NA,NA,5,0,0,17.9655838190057,24726689,335.701731307511,NA,0.257,0.440030580283539,0.777777777777778,0.743055555555556,0.409,0,3536070000,7,3.84200246138899e-06,8300792306.80239,5.81622604010872,3652602455.57539,147.719027629433,22.0187057520035,4.99531200743787,6606,8.79573360595074,17.0233937445656,0.384200246138899,-6.9039206381626,-0.953991960068499,21.9862817779062,0.46,-0.776528789498996,5.84539942357368,5.80744519793977,NA,NA,NA,22.4830975315972,22.7642336373066,NA,NA,NA,5.50291938219895,5.83073892586297,NA,NA,NA,0.710009344197614,1.02357022157732,NA,NA,NA,0.709459459459459,0.486301369863014,0.477611940298507,0.417910447761194,NA,0.615384615384615,0.5,0.9,0.2,NA,8.79573360595074,8.79573360595074,NA,NA,NA,-4.60517018598809,-4.60517018598809,NA,NA,NA,0.815003806236688,2.86715844333473,19.7760058410722,19.1097604292444,18.8737736199179,-0.203336259523164,1.05367016644667,2.98451994168657,2.95025154967632,2.93782630141643,21.8204304115157,21.5889998452038,20.3664194497421,19.0647952309403,19.2513700135352,23680871,22600774,21606992,20779957,20170847,16.9801781493982,16.9334947114437,16.8885275239774,16.8494994743358,16.8197489021077,3.82864139648909,0.165851366390498,0.2314305663119,1.2225803954617,1.3016242188018,-0.186574782594899,0.239131944779,7,9,2,1,NA
"6",6,9,"Afghanistan",2005,"AFG","Asia",367,0,0,NA,NA,3,0,0,NA,25654274,359.899002051634,NA,0.336,0.381719799714812,0.8,0.824324324324324,0.418,0,3846890000,7,1.43056084923705e-05,9232947610.95918,5.88582622078555,3524398912.83269,137.38057498071,21.982975737488,4.92275499410752,6606,8.79573360595074,17.0602207433805,1.43056084923705,-6.89355103017597,0.358765351978539,22.0705308665986,0.46,-0.776528789498996,5.81622604010872,5.84539942357368,5.80744519793977,NA,NA,22.0187057520035,22.4830975315972,22.7642336373066,NA,NA,4.99531200743787,5.50291938219895,5.83073892586297,NA,NA,0.440030580283539,0.710009344197614,1.02357022157732,NA,NA,0.743055555555556,0.709459459459459,0.486301369863014,0.477611940298507,0.417910447761194,0.777777777777778,0.615384615384615,0.5,0.9,0.2,8.79573360595074,8.79573360595074,8.79573360595074,NA,NA,-0.776528789498996,-4.60517018598809,-4.60517018598809,NA,NA,0.384200246138899,0.815003806236688,2.86715844333473,19.7760058410722,19.1097604292444,-0.953991960068499,-0.203336259523164,1.05367016644667,2.98451994168657,2.95025154967632,21.9862817779062,21.8204304115157,21.5889998452038,20.3664194497421,19.0647952309403,24726689,23680871,22600774,21606992,20779957,17.0233937445656,16.9801781493982,16.9334947114437,16.8885275239774,16.8494994743358,0,0.084249088692399,0.165851366390498,0.2314305663119,1.2225803954617,1.3016242188018,-0.186574782594899,5,7,9,2,1
"7",7,10,"Afghanistan",2006,"AFG","Asia",1481,0,0,NA,NA,5,0,0,NA,26433058,368.008644571361,NA,0.399,0.50226548978958,0.666666666666667,0.804597701149425,0.429,0.25,3620210000,8,5.60283263480147e-05,9727593846.45617,5.90810914589986,4885834687.76441,184.838042112434,22.3096059753505,5.21947999360899,6606.25,8.79577144961855,17.0901259817415,5.60283263480147,-6.85324026986463,1.72345076271855,22.0097978721515,0.68,-0.385662480811985,5.88582622078555,5.81622604010872,5.84539942357368,5.80744519793977,NA,21.982975737488,22.0187057520035,22.4830975315972,22.7642336373066,NA,4.92275499410752,4.99531200743787,5.50291938219895,5.83073892586297,NA,0.381719799714812,0.440030580283539,0.710009344197614,1.02357022157732,NA,0.824324324324324,0.743055555555556,0.709459459459459,0.486301369863014,0.477611940298507,0.8,0.777777777777778,0.615384615384615,0.5,0.9,8.79573360595074,8.79573360595074,8.79573360595074,8.79573360595074,NA,-0.776528789498996,-0.776528789498996,-4.60517018598809,-4.60517018598809,NA,1.43056084923705,0.384200246138899,0.815003806236688,2.86715844333473,19.7760058410722,0.358765351978539,-0.953991960068499,-0.203336259523164,1.05367016644667,2.98451994168657,22.0705308665986,21.9862817779062,21.8204304115157,21.5889998452038,20.3664194497421,25654274,24726689,23680871,22600774,21606992,17.0602207433805,17.0233937445656,16.9801781493982,16.9334947114437,16.8885275239774,0.390866308687011,-0.0607329944471005,0.084249088692399,0.165851366390498,0.2314305663119,1.2225803954617,1.3016242188018,3,5,7,9,2
"8",8,11,"Afghanistan",2007,"AFG","Asia",2324,0,22114157.5189746,NA,NA,6,0,0,16.9117285731022,27100542,408.573454213443,NA,0.399,0.449365385586923,0.666666666666667,0.896103896103896,0.447,0.1,5069970000,8,8.57547424697262e-05,11072562055.9965,6.01267416014868,4975626117.728,183.598767793205,22.3278170524478,5.21275276679788,6606.1,8.79574874358972,17.1150642856499,8.57547424697263,-6.82547991863834,2.14902290212,22.3466007373724,0.78,-0.2484613592985,5.90810914589986,5.88582622078555,5.81622604010872,5.84539942357368,5.80744519793977,22.3096059753505,21.982975737488,22.0187057520035,22.4830975315972,22.7642336373066,5.21947999360899,4.92275499410752,4.99531200743787,5.50291938219895,5.83073892586297,0.50226548978958,0.381719799714812,0.440030580283539,0.710009344197614,1.02357022157732,0.804597701149425,0.824324324324324,0.743055555555556,0.709459459459459,0.486301369863014,0.666666666666667,0.8,0.777777777777778,0.615384615384615,0.5,8.79577144961855,8.79573360595074,8.79573360595074,8.79573360595074,8.79573360595074,-0.385662480811985,-0.776528789498996,-0.776528789498996,-4.60517018598809,-4.60517018598809,5.60283263480147,1.43056084923705,0.384200246138899,0.815003806236688,2.86715844333473,1.72345076271855,0.358765351978539,-0.953991960068499,-0.203336259523164,1.05367016644667,22.0097978721515,22.0705308665986,21.9862817779062,21.8204304115157,21.5889998452038,26433058,25654274,24726689,23680871,22600774,17.0901259817415,17.0602207433805,17.0233937445656,16.9801781493982,16.9334947114437,0.137201121513485,0.3368028652209,-0.0607329944471005,0.084249088692399,0.165851366390498,0.2314305663119,1.2225803954617,5,3,5,7,9
"9",9,12,"Afghanistan",2008,"AFG","Asia",1347,0,61765422.1693443,0,NA,6,3,0,17.9388542540199,27722281,415.086995378652,305.79155,0.403,0.61129544713737,0.833333333333333,0.802631578947368,0.447,113.91,6433020000,7,4.8589075336189e-05,11507158325.3327,6.02849053481101,7034273493.76476,253.740790440901,22.6740602519263,5.5363132358684,6719.91,8.81283004057037,17.1377470160579,4.8589075336189,-6.86030975621295,1.58101941172706,22.58470993834,114.7,4.74232002413533,6.01267416014868,5.90810914589986,5.88582622078555,5.81622604010872,5.84539942357368,22.3278170524478,22.3096059753505,21.982975737488,22.0187057520035,22.4830975315972,5.21275276679788,5.21947999360899,4.92275499410752,4.99531200743787,5.50291938219895,0.449365385586923,0.50226548978958,0.381719799714812,0.440030580283539,0.710009344197614,0.896103896103896,0.804597701149425,0.824324324324324,0.743055555555556,0.709459459459459,0.666666666666667,0.666666666666667,0.8,0.777777777777778,0.615384615384615,8.79574874358972,8.79577144961855,8.79573360595074,8.79573360595074,8.79573360595074,-0.2484613592985,-0.385662480811985,-0.776528789498996,-0.776528789498996,-4.60517018598809,8.57547424697263,5.60283263480147,1.43056084923705,0.384200246138899,0.815003806236688,2.14902290212,1.72345076271855,0.358765351978539,-0.953991960068499,-0.203336259523164,22.3466007373724,22.0097978721515,22.0705308665986,21.9862817779062,21.8204304115157,27100542,26433058,25654274,24726689,23680871,17.1150642856499,17.0901259817415,17.0602207433805,17.0233937445656,16.9801781493982,4.99078138343383,0.238109200967603,0.3368028652209,-0.0607329944471005,0.084249088692399,0.165851366390498,0.2314305663119,6,5,3,5,7
"10",10,13,"Afghanistan",2009,"AFG","Asia",1140,0,0,NA,NA,5,0,0,NA,28394806,491.942093006472,300.70432,0.391,0.418062902143286,0.666666666666667,0.861538461538462,0.46,16.39,6525700000,2,4.01481876650258e-05,13968600294.1527,6.19836304518165,5839753577.85304,205.662739088728,22.4879544373232,5.32623763824161,6622.39,8.79821161096675,17.1617167990816,4.01481876650258,-6.86839208783988,1.39024125350823,22.5990140640948,181.33,5.20031857566593,6.02849053481101,6.01267416014868,5.90810914589986,5.88582622078555,5.81622604010872,22.6740602519263,22.3278170524478,22.3096059753505,21.982975737488,22.0187057520035,5.5363132358684,5.21275276679788,5.21947999360899,4.92275499410752,4.99531200743787,0.61129544713737,0.449365385586923,0.50226548978958,0.381719799714812,0.440030580283539,0.802631578947368,0.896103896103896,0.804597701149425,0.824324324324324,0.743055555555556,0.833333333333333,0.666666666666667,0.666666666666667,0.8,0.777777777777778,8.81283004057037,8.79574874358972,8.79577144961855,8.79573360595074,8.79573360595074,4.74232002413533,-0.2484613592985,-0.385662480811985,-0.776528789498996,-0.776528789498996,4.8589075336189,8.57547424697263,5.60283263480147,1.43056084923705,0.384200246138899,1.58101941172706,2.14902290212,1.72345076271855,0.358765351978539,-0.953991960068499,22.58470993834,22.3466007373724,22.0097978721515,22.0705308665986,21.9862817779062,27722281,27100542,26433058,25654274,24726689,17.1377470160579,17.1150642856499,17.0901259817415,17.0602207433805,17.0233937445656,0.457998551530601,0.0143041257547978,0.238109200967603,0.3368028652209,-0.0607329944471005,0.084249088692399,0.165851366390498,6,6,5,3,5
